flop,top,mid,btm,pair,suit
Js8s3d,11,8,3,0,2
Js8s3s,11,8,3,0,1
Qs8d3c,12,8,3,0,3
Qs8d3d,12,8,3,0,2
Qs8d3s,12,8,3,0,2
Qs8s3d,12,8,3,0,2
Qs8s3s,12,8,3,0,1
Ks8d3c,13,8,3,0,3
Ks8d3d,13,8,3,0,2
Ks8d3s,13,8,3,0,2
Ks8s3d,13,8,3,0,2
Ks8s3s,13,8,3,0,1
As8d3c,14,8,3,0,3
As8d3d,14,8,3,0,2
As8d3s,14,8,3,0,2
As8s3d,14,8,3,0,2
As8s3s,14,8,3,0,1
Ts9d3c,10,9,3,0,3
Ts9d3d,10,9,3,0,2
Ts9d3s,10,9,3,0,2
Ts9s3d,10,9,3,0,2
Ts9s3s,10,9,3,0,1
Js9d3c,11,9,3,0,3
Js9d3d,11,9,3,0,2
Js9d3s,11,9,3,0,2
Js9s3d,11,9,3,0,2
Js9s3s,11,9,3,0,1
Qs9d3c,12,9,3,0,3
Qs9d3d,12,9,3,0,2
Qs9d3s,12,9,3,0,2
Qs9s3d,12,9,3,0,2
Qs9s3s,12,9,3,0,1
Ks9d3c,13,9,3,0,3
Ks9d3d,13,9,3,0,2
Ks9d3s,13,9,3,0,2
Ks9s3d,13,9,3,0,2
Ks9s3s,13,9,3,0,1
As9d3c,14,9,3,0,3
As9d3d,14,9,3,0,2
As9d3s,14,9,3,0,2
As9s3d,14,9,3,0,2
As9s3s,14,9,3,0,1
JsTd3c,11,10,3,0,3
JsTd3d,11,10,3,0,2
JsTd3s,11,10,3,0,2
JsTs3d,11,10,3,0,2
JsTs3s,11,10,3,0,1
QsTd3c,12,10,3,0,3
QsTd3d,12,10,3,0,2
QsTd3s,12,10,3,0,2
QsTs3d,12,10,3,0,2
QsTs3s,12,10,3,0,1
KsTd3c,13,10,3,0,3
KsTd3d,13,10,3,0,2
KsTd3s,13,10,3,0,2
KsTs3d,13,10,3,0,2
KsTs3s,13,10,3,0,1
AsTd3c,14,10,3,0,3
AsTd3d,14,10,3,0,2
AsTd3s,14,10,3,0,2
AsTs3d,14,10,3,0,2
AsTs3s,14,10,3,0,1
QsJd3c,12,11,3,0,3
QsJd3d,12,11,3,0,2
QsJd3s,12,11,3,0,2
QsJs3d,12,11,3,0,2
QsJs3s,12,11,3,0,1
KsJd3c,13,11,3,0,3
KsJd3d,13,11,3,0,2
KsJd3s,13,11,3,0,2
KsJs3d,13,11,3,0,2
KsJs3s,13,11,3,0,1
AsJd3c,14,11,3,0,3
AsJd3d,14,11,3,0,2
AsJd3s,14,11,3,0,2
AsJs3d,14,11,3,0,2
AsJs3s,14,11,3,0,1
KsQd3c,13,12,3,0,3
KsQd3d,13,12,3,0,2
KsQd3s,13,12,3,0,2
KsQs3d,13,12,3,0,2
KsQs3s,13,12,3,0,1
AsQd3c,14,12,3,0,3
AsQd3d,14,12,3,0,2
AsQd3s,14,12,3,0,2
AsQs3d,14,12,3,0,2
AsQs3s,14,12,3,0,1
AsKd3c,14,13,3,0,3
AsKd3d,14,13,3,0,2
AsKd3s,14,13,3,0,2
AsKs3d,14,13,3,0,2
AsKs3s,14,13,3,0,1
6s5d4c,6,5,4,0,3
6s5d4d,6,5,4,0,2
6s5d4s,6,5,4,0,2
6s5s4d,6,5,4,0,2
6s5s4s,6,5,4,0,1
7s5d4c,7,5,4,0,3
7s5d4d,7,5,4,0,2
7s5d4s,7,5,4,0,2
7s5s4d,7,5,4,0,2
7s5s4s,7,5,4,0,1
8s5d4c,8,5,4,0,3
8s5d4d,8,5,4,0,2
8s5d4s,8,5,4,0,2
8s5s4d,8,5,4,0,2
8s5s4s,8,5,4,0,1
9s5d4c,9,5,4,0,3
9s5d4d,9,5,4,0,2
9s5d4s,9,5,4,0,2
9s5s4d,9,5,4,0,2
9s5s4s,9,5,4,0,1
Ts5d4c,10,5,4,0,3
Ts5d4d,10,5,4,0,2
Ts5d4s,10,5,4,0,2
Ts5s4d,10,5,4,0,2
Ts5s4s,10,5,4,0,1
Js5d4c,11,5,4,0,3
Js5d4d,11,5,4,0,2
Js5d4s,11,5,4,0,2
Js5s4d,11,5,4,0,2
Js5s4s,11,5,4,0,1
Qs5d4c,12,5,4,0,3
Qs5d4d,12,5,4,0,2
Qs5d4s,12,5,4,0,2
Qs5s4d,12,5,4,0,2
Qs5s4s,12,5,4,0,1
Ks5d4c,13,5,4,0,3
Ks5d4d,13,5,4,0,2
Ks5d4s,13,5,4,0,2
Ks5s4d,13,5,4,0,2
Ks5s4s,13,5,4,0,1
As5d4c,14,5,4,0,3
As5d4d,14,5,4,0,2
As5d4s,14,5,4,0,2
As5s4d,14,5,4,0,2
As5s4s,14,5,4,0,1
7s6d4c,7,6,4,0,3
7s6d4d,7,6,4,0,2
7s6d4s,7,6,4,0,2
7s6s4d,7,6,4,0,2
7s6s4s,7,6,4,0,1
8s6d4c,8,6,4,0,3
8s6d4d,8,6,4,0,2
8s6d4s,8,6,4,0,2
8s6s4d,8,6,4,0,2
8s6s4s,8,6,4,0,1
9s6d4c,9,6,4,0,3
9s6d4d,9,6,4,0,2
9s6d4s,9,6,4,0,2
9s6s4d,9,6,4,0,2
9s6s4s,9,6,4,0,1
Ts6d4c,10,6,4,0,3
Ts6d4d,10,6,4,0,2
Ts6d4s,10,6,4,0,2
Ts6s4d,10,6,4,0,2
Ts6s4s,10,6,4,0,1
Js6d4c,11,6,4,0,3
Js6d4d,11,6,4,0,2
Js6d4s,11,6,4,0,2
Js6s4d,11,6,4,0,2
Js6s4s,11,6,4,0,1
Qs6d4c,12,6,4,0,3
Qs6d4d,12,6,4,0,2
Qs6d4s,12,6,4,0,2
Qs6s4d,12,6,4,0,2
Qs6s4s,12,6,4,0,1
Ks6d4c,13,6,4,0,3
Ks6d4d,13,6,4,0,2
Ks6d4s,13,6,4,0,2
Ks6s4d,13,6,4,0,2
Ks6s4s,13,6,4,0,1
As6d4c,14,6,4,0,3
As6d4d,14,6,4,0,2
As6d4s,14,6,4,0,2
As6s4d,14,6,4,0,2
As6s4s,14,6,4,0,1
8s7d4c,8,7,4,0,3
8s7d4d,8,7,4,0,2
8s7d4s,8,7,4,0,2
8s7s4d,8,7,4,0,2
8s7s4s,8,7,4,0,1
9s7d4c,9,7,4,0,3
9s7d4d,9,7,4,0,2
9s7d4s,9,7,4,0,2
9s7s4d,9,7,4,0,2
9s7s4s,9,7,4,0,1
Ts7d4c,10,7,4,0,3
Ts7d4d,10,7,4,0,2
Ts7d4s,10,7,4,0,2
Ts7s4d,10,7,4,0,2
Ts7s4s,10,7,4,0,1
Js7d4c,11,7,4,0,3
Js7d4d,11,7,4,0,2
Js7d4s,11,7,4,0,2
Js7s4d,11,7,4,0,2
Js7s4s,11,7,4,0,1
Qs7d4c,12,7,4,0,3
Qs7d4d,12,7,4,0,2
Qs7d4s,12,7,4,0,2
Qs7s4d,12,7,4,0,2
Qs7s4s,12,7,4,0,1
Ks7d4c,13,7,4,0,3
Ks7d4d,13,7,4,0,2
Ks7d4s,13,7,4,0,2
Ks7s4d,13,7,4,0,2
Ks7s4s,13,7,4,0,1
As7d4c,14,7,4,0,3
As7d4d,14,7,4,0,2
As7d4s,14,7,4,0,2
As7s4d,14,7,4,0,2
As7s4s,14,7,4,0,1
9s8d4c,9,8,4,0,3
9s8d4d,9,8,4,0,2
9s8d4s,9,8,4,0,2
9s8s4d,9,8,4,0,2
9s8s4s,9,8,4,0,1
Ts8d4c,10,8,4,0,3
Ts8d4d,10,8,4,0,2
Ts8d4s,10,8,4,0,2
Ts8s4d,10,8,4,0,2
Ts8s4s,10,8,4,0,1
Js8d4c,11,8,4,0,3
Js8d4d,11,8,4,0,2
Js8d4s,11,8,4,0,2
Js8s4d,11,8,4,0,2
Js8s4s,11,8,4,0,1
Qs8d4c,12,8,4,0,3
Qs8d4d,12,8,4,0,2
Qs8d4s,12,8,4,0,2
Qs8s4d,12,8,4,0,2
Qs8s4s,12,8,4,0,1
Ks8d4c,13,8,4,0,3
Ks8d4d,13,8,4,0,2
Ks8d4s,13,8,4,0,2
Ks8s4d,13,8,4,0,2
Ks8s4s,13,8,4,0,1
As8d4c,14,8,4,0,3
As8d4d,14,8,4,0,2
As8d4s,14,8,4,0,2
As8s4d,14,8,4,0,2
As8s4s,14,8,4,0,1
Ts9d4c,10,9,4,0,3
Ts9d4d,10,9,4,0,2
Ts9d4s,10,9,4,0,2
Ts9s4d,10,9,4,0,2
Ts9s4s,10,9,4,0,1
Js9d4c,11,9,4,0,3
Js9d4d,11,9,4,0,2
Js9d4s,11,9,4,0,2
Js9s4d,11,9,4,0,2
Js9s4s,11,9,4,0,1
Qs9d4c,12,9,4,0,3
Qs9d4d,12,9,4,0,2
Qs9d4s,12,9,4,0,2
Qs9s4d,12,9,4,0,2
Qs9s4s,12,9,4,0,1
Ks9d4c,13,9,4,0,3
Ks9d4d,13,9,4,0,2
Ks9d4s,13,9,4,0,2
Ks9s4d,13,9,4,0,2
Ks9s4s,13,9,4,0,1
As9d4c,14,9,4,0,3
As9d4d,14,9,4,0,2
As9d4s,14,9,4,0,2
As9s4d,14,9,4,0,2
As9s4s,14,9,4,0,1
JsTd4c,11,10,4,0,3
JsTd4d,11,10,4,0,2
JsTd4s,11,10,4,0,2
JsTs4d,11,10,4,0,2
JsTs4s,11,10,4,0,1
QsTd4c,12,10,4,0,3
QsTd4d,12,10,4,0,2
QsTd4s,12,10,4,0,2
QsTs4d,12,10,4,0,2
QsTs4s,12,10,4,0,1
KsTd4c,13,10,4,0,3
KsTd4d,13,10,4,0,2
KsTd4s,13,10,4,0,2
KsTs4d,13,10,4,0,2
KsTs4s,13,10,4,0,1
AsTd4c,14,10,4,0,3
AsTd4d,14,10,4,0,2
AsTd4s,14,10,4,0,2
AsTs4d,14,10,4,0,2
AsTs4s,14,10,4,0,1
QsJd4c,12,11,4,0,3
QsJd4d,12,11,4,0,2
QsJd4s,12,11,4,0,2
QsJs4d,12,11,4,0,2
QsJs4s,12,11,4,0,1
KsJd4c,13,11,4,0,3
KsJd4d,13,11,4,0,2
KsJd4s,13,11,4,0,2
KsJs4d,13,11,4,0,2
KsJs4s,13,11,4,0,1
AsJd4c,14,11,4,0,3
AsJd4d,14,11,4,0,2
AsJd4s,14,11,4,0,2
AsJs4d,14,11,4,0,2
AsJs4s,14,11,4,0,1
KsQd4c,13,12,4,0,3
KsQd4d,13,12,4,0,2
KsQd4s,13,12,4,0,2
KsQs4d,13,12,4,0,2
KsQs4s,13,12,4,0,1
AsQd4c,14,12,4,0,3
AsQd4d,14,12,4,0,2
AsQd4s,14,12,4,0,2
AsQs4d,14,12,4,0,2
AsQs4s,14,12,4,0,1
AsKd4c,14,13,4,0,3
AsKd4d,14,13,4,0,2
AsKd4s,14,13,4,0,2
AsKs4d,14,13,4,0,2
AsKs4s,14,13,4,0,1
7s6d5c,7,6,5,0,3
7s6d5d,7,6,5,0,2
7s6d5s,7,6,5,0,2
7s6s5d,7,6,5,0,2
7s6s5s,7,6,5,0,1
8s6d5c,8,6,5,0,3
8s6d5d,8,6,5,0,2
8s6d5s,8,6,5,0,2
8s6s5d,8,6,5,0,2
8s6s5s,8,6,5,0,1
9s6d5c,9,6,5,0,3
9s6d5d,9,6,5,0,2
9s6d5s,9,6,5,0,2
9s6s5d,9,6,5,0,2
9s6s5s,9,6,5,0,1
Ts6d5c,10,6,5,0,3
Ts6d5d,10,6,5,0,2
Ts6d5s,10,6,5,0,2
Ts6s5d,10,6,5,0,2
Ts6s5s,10,6,5,0,1
Js6d5c,11,6,5,0,3
Js6d5d,11,6,5,0,2
Js6d5s,11,6,5,0,2
Js6s5d,11,6,5,0,2
Js6s5s,11,6,5,0,1
Qs6d5c,12,6,5,0,3
Qs6d5d,12,6,5,0,2
Qs6d5s,12,6,5,0,2
Qs6s5d,12,6,5,0,2
Qs6s5s,12,6,5,0,1
Ks6d5c,13,6,5,0,3
Ks6d5d,13,6,5,0,2
Ks6d5s,13,6,5,0,2
Ks6s5d,13,6,5,0,2
Ks6s5s,13,6,5,0,1
As6d5c,14,6,5,0,3
As6d5d,14,6,5,0,2
As6d5s,14,6,5,0,2
As6s5d,14,6,5,0,2
As6s5s,14,6,5,0,1
8s7d5c,8,7,5,0,3
8s7d5d,8,7,5,0,2
8s7d5s,8,7,5,0,2
8s7s5d,8,7,5,0,2
8s7s5s,8,7,5,0,1
9s7d5c,9,7,5,0,3
9s7d5d,9,7,5,0,2
9s7d5s,9,7,5,0,2
9s7s5d,9,7,5,0,2
9s7s5s,9,7,5,0,1
Ts7d5c,10,7,5,0,3
Ts7d5d,10,7,5,0,2
Ts7d5s,10,7,5,0,2
Ts7s5d,10,7,5,0,2
Ts7s5s,10,7,5,0,1
Js7d5c,11,7,5,0,3
Js7d5d,11,7,5,0,2
Js7d5s,11,7,5,0,2
Js7s5d,11,7,5,0,2
Js7s5s,11,7,5,0,1
Qs7d5c,12,7,5,0,3
Qs7d5d,12,7,5,0,2
Qs7d5s,12,7,5,0,2
Qs7s5d,12,7,5,0,2
Qs7s5s,12,7,5,0,1
Ks7d5c,13,7,5,0,3
Ks7d5d,13,7,5,0,2
Ks7d5s,13,7,5,0,2
Ks7s5d,13,7,5,0,2
Ks7s5s,13,7,5,0,1
As7d5c,14,7,5,0,3
As7d5d,14,7,5,0,2
As7d5s,14,7,5,0,2
As7s5d,14,7,5,0,2
As7s5s,14,7,5,0,1
9s8d5c,9,8,5,0,3
9s8d5d,9,8,5,0,2
9s8d5s,9,8,5,0,2
9s8s5d,9,8,5,0,2
9s8s5s,9,8,5,0,1
Ts8d5c,10,8,5,0,3
Ts8d5d,10,8,5,0,2
Ts8d5s,10,8,5,0,2
Ts8s5d,10,8,5,0,2
Ts8s5s,10,8,5,0,1
Js8d5c,11,8,5,0,3
Js8d5d,11,8,5,0,2
Js8d5s,11,8,5,0,2
Js8s5d,11,8,5,0,2
Js8s5s,11,8,5,0,1
Qs8d5c,12,8,5,0,3
Qs8d5d,12,8,5,0,2
Qs8d5s,12,8,5,0,2
Qs8s5d,12,8,5,0,2
Qs8s5s,12,8,5,0,1
Ks8d5c,13,8,5,0,3
Ks8d5d,13,8,5,0,2
Ks8d5s,13,8,5,0,2
Ks8s5d,13,8,5,0,2
Ks8s5s,13,8,5,0,1
As8d5c,14,8,5,0,3
As8d5d,14,8,5,0,2
As8d5s,14,8,5,0,2
As8s5d,14,8,5,0,2
As8s5s,14,8,5,0,1
Ts9d5c,10,9,5,0,3
Ts9d5d,10,9,5,0,2
Ts9d5s,10,9,5,0,2
Ts9s5d,10,9,5,0,2
Ts9s5s,10,9,5,0,1
Js9d5c,11,9,5,0,3
Js9d5d,11,9,5,0,2
Js9d5s,11,9,5,0,2
Js9s5d,11,9,5,0,2
Js9s5s,11,9,5,0,1
Qs9d5c,12,9,5,0,3
Qs9d5d,12,9,5,0,2
Qs9d5s,12,9,5,0,2
Qs9s5d,12,9,5,0,2
Qs9s5s,12,9,5,0,1
Ks9d5c,13,9,5,0,3
Ks9d5d,13,9,5,0,2
Ks9d5s,13,9,5,0,2
Ks9s5d,13,9,5,0,2
Ks9s5s,13,9,5,0,1
As9d5c,14,9,5,0,3
As9d5d,14,9,5,0,2
As9d5s,14,9,5,0,2
As9s5d,14,9,5,0,2
As9s5s,14,9,5,0,1
JsTd5c,11,10,5,0,3
JsTd5d,11,10,5,0,2
JsTd5s,11,10,5,0,2
JsTs5d,11,10,5,0,2
JsTs5s,11,10,5,0,1
QsTd5c,12,10,5,0,3
QsTd5d,12,10,5,0,2
QsTd5s,12,10,5,0,2
QsTs5d,12,10,5,0,2
QsTs5s,12,10,5,0,1
KsTd5c,13,10,5,0,3
KsTd5d,13,10,5,0,2
KsTd5s,13,10,5,0,2
KsTs5d,13,10,5,0,2
KsTs5s,13,10,5,0,1
AsTd5c,14,10,5,0,3
AsTd5d,14,10,5,0,2
AsTd5s,14,10,5,0,2
AsTs5d,14,10,5,0,2
AsTs5s,14,10,5,0,1
QsJd5c,12,11,5,0,3
QsJd5d,12,11,5,0,2
QsJd5s,12,11,5,0,2
QsJs5d,12,11,5,0,2
QsJs5s,12,11,5,0,1
KsJd5c,13,11,5,0,3
KsJd5d,13,11,5,0,2
KsJd5s,13,11,5,0,2
KsJs5d,13,11,5,0,2
KsJs5s,13,11,5,0,1
AsJd5c,14,11,5,0,3
AsJd5d,14,11,5,0,2
AsJd5s,14,11,5,0,2
AsJs5d,14,11,5,0,2
AsJs5s,14,11,5,0,1
KsQd5c,13,12,5,0,3
KsQd5d,13,12,5,0,2
KsQd5s,13,12,5,0,2
KsQs5d,13,12,5,0,2
KsQs5s,13,12,5,0,1
AsQd5c,14,12,5,0,3
AsQd5d,14,12,5,0,2
AsQd5s,14,12,5,0,2
AsQs5d,14,12,5,0,2
AsQs5s,14,12,5,0,1
AsKd5c,14,13,5,0,3
AsKd5d,14,13,5,0,2
AsKd5s,14,13,5,0,2
AsKs5d,14,13,5,0,2
AsKs5s,14,13,5,0,1
8s7d6c,8,7,6,0,3
8s7d6d,8,7,6,0,2
8s7d6s,8,7,6,0,2
8s7s6d,8,7,6,0,2
8s7s6s,8,7,6,0,1
9s7d6c,9,7,6,0,3
9s7d6d,9,7,6,0,2
9s7d6s,9,7,6,0,2
9s7s6d,9,7,6,0,2
9s7s6s,9,7,6,0,1
Ts7d6c,10,7,6,0,3
Ts7d6d,10,7,6,0,2
Ts7d6s,10,7,6,0,2
Ts7s6d,10,7,6,0,2
Ts7s6s,10,7,6,0,1
Js7d6c,11,7,6,0,3
Js7d6d,11,7,6,0,2
Js7d6s,11,7,6,0,2
Js7s6d,11,7,6,0,2
Js7s6s,11,7,6,0,1
Qs7d6c,12,7,6,0,3
Qs7d6d,12,7,6,0,2
Qs7d6s,12,7,6,0,2
Qs7s6d,12,7,6,0,2
Qs7s6s,12,7,6,0,1
Ks7d6c,13,7,6,0,3
Ks7d6d,13,7,6,0,2
Ks7d6s,13,7,6,0,2
Ks7s6d,13,7,6,0,2
Ks7s6s,13,7,6,0,1
As7d6c,14,7,6,0,3
As7d6d,14,7,6,0,2
As7d6s,14,7,6,0,2
As7s6d,14,7,6,0,2
As7s6s,14,7,6,0,1
9s8d6c,9,8,6,0,3
9s8d6d,9,8,6,0,2
9s8d6s,9,8,6,0,2
9s8s6d,9,8,6,0,2
9s8s6s,9,8,6,0,1
Ts8d6c,10,8,6,0,3
Ts8d6d,10,8,6,0,2
Ts8d6s,10,8,6,0,2
Ts8s6d,10,8,6,0,2
Ts8s6s,10,8,6,0,1
Js8d6c,11,8,6,0,3
Js8d6d,11,8,6,0,2
Js8d6s,11,8,6,0,2
Js8s6d,11,8,6,0,2
Js8s6s,11,8,6,0,1
Qs8d6c,12,8,6,0,3
Qs8d6d,12,8,6,0,2
Qs8d6s,12,8,6,0,2
Qs8s6d,12,8,6,0,2
Qs8s6s,12,8,6,0,1
Ks8d6c,13,8,6,0,3
Ks8d6d,13,8,6,0,2
Ks8d6s,13,8,6,0,2
Ks8s6d,13,8,6,0,2
Ks8s6s,13,8,6,0,1
As8d6c,14,8,6,0,3
As8d6d,14,8,6,0,2
As8d6s,14,8,6,0,2
As8s6d,14,8,6,0,2
As8s6s,14,8,6,0,1
Ts9d6c,10,9,6,0,3
Ts9d6d,10,9,6,0,2
Ts9d6s,10,9,6,0,2
Ts9s6d,10,9,6,0,2
Ts9s6s,10,9,6,0,1
Js9d6c,11,9,6,0,3
Js9d6d,11,9,6,0,2
Js9d6s,11,9,6,0,2
Js9s6d,11,9,6,0,2
Js9s6s,11,9,6,0,1
Qs9d6c,12,9,6,0,3
Qs9d6d,12,9,6,0,2
Qs9d6s,12,9,6,0,2
Qs9s6d,12,9,6,0,2
Qs9s6s,12,9,6,0,1
Ks9d6c,13,9,6,0,3
Ks9d6d,13,9,6,0,2
Ks9d6s,13,9,6,0,2
Ks9s6d,13,9,6,0,2
Ks9s6s,13,9,6,0,1
As9d6c,14,9,6,0,3
As9d6d,14,9,6,0,2
As9d6s,14,9,6,0,2
As9s6d,14,9,6,0,2
As9s6s,14,9,6,0,1
JsTd6c,11,10,6,0,3
JsTd6d,11,10,6,0,2
JsTd6s,11,10,6,0,2
JsTs6d,11,10,6,0,2
JsTs6s,11,10,6,0,1
QsTd6c,12,10,6,0,3
QsTd6d,12,10,6,0,2
QsTd6s,12,10,6,0,2
QsTs6d,12,10,6,0,2
QsTs6s,12,10,6,0,1
KsTd6c,13,10,6,0,3
KsTd6d,13,10,6,0,2
KsTd6s,13,10,6,0,2
KsTs6d,13,10,6,0,2
KsTs6s,13,10,6,0,1
AsTd6c,14,10,6,0,3
AsTd6d,14,10,6,0,2
AsTd6s,14,10,6,0,2
AsTs6d,14,10,6,0,2
AsTs6s,14,10,6,0,1
QsJd6c,12,11,6,0,3
QsJd6d,12,11,6,0,2
QsJd6s,12,11,6,0,2
QsJs6d,12,11,6,0,2
QsJs6s,12,11,6,0,1
KsJd6c,13,11,6,0,3
KsJd6d,13,11,6,0,2
KsJd6s,13,11,6,0,2
KsJs6d,13,11,6,0,2
KsJs6s,13,11,6,0,1
AsJd6c,14,11,6,0,3
AsJd6d,14,11,6,0,2
AsJd6s,14,11,6,0,2
AsJs6d,14,11,6,0,2
AsJs6s,14,11,6,0,1
KsQd6c,13,12,6,0,3
KsQd6d,13,12,6,0,2
KsQd6s,13,12,6,0,2
KsQs6d,13,12,6,0,2
KsQs6s,13,12,6,0,1
AsQd6c,14,12,6,0,3
AsQd6d,14,12,6,0,2
AsQd6s,14,12,6,0,2
AsQs6d,14,12,6,0,2
AsQs6s,14,12,6,0,1
AsKd6c,14,13,6,0,3
AsKd6d,14,13,6,0,2
AsKd6s,14,13,6,0,2
AsKs6d,14,13,6,0,2
AsKs6s,14,13,6,0,1
9s8d7c,9,8,7,0,3
9s8d7d,9,8,7,0,2
9s8d7s,9,8,7,0,2
9s8s7d,9,8,7,0,2
9s8s7s,9,8,7,0,1
Ts8d7c,10,8,7,0,3
Ts8d7d,10,8,7,0,2
Ts8d7s,10,8,7,0,2
Ts8s7d,10,8,7,0,2
Ts8s7s,10,8,7,0,1
Js8d7c,11,8,7,0,3
Js8d7d,11,8,7,0,2
Js8d7s,11,8,7,0,2
Js8s7d,11,8,7,0,2
Js8s7s,11,8,7,0,1
Qs8d7c,12,8,7,0,3
Qs8d7d,12,8,7,0,2
Qs8d7s,12,8,7,0,2
Qs8s7d,12,8,7,0,2
Qs8s7s,12,8,7,0,1
Ks8d7c,13,8,7,0,3
Ks8d7d,13,8,7,0,2
Ks8d7s,13,8,7,0,2
Ks8s7d,13,8,7,0,2
Ks8s7s,13,8,7,0,1
As8d7c,14,8,7,0,3
As8d7d,14,8,7,0,2
As8d7s,14,8,7,0,2
As8s7d,14,8,7,0,2
As8s7s,14,8,7,0,1
Ts9d7c,10,9,7,0,3
Ts9d7d,10,9,7,0,2
Ts9d7s,10,9,7,0,2
Ts9s7d,10,9,7,0,2
Ts9s7s,10,9,7,0,1
Js9d7c,11,9,7,0,3
Js9d7d,11,9,7,0,2
Js9d7s,11,9,7,0,2
Js9s7d,11,9,7,0,2
Js9s7s,11,9,7,0,1
Qs9d7c,12,9,7,0,3
Qs9d7d,12,9,7,0,2
Qs9d7s,12,9,7,0,2
Qs9s7d,12,9,7,0,2
Qs9s7s,12,9,7,0,1
Ks9d7c,13,9,7,0,3
Ks9d7d,13,9,7,0,2
Ks9d7s,13,9,7,0,2
Ks9s7d,13,9,7,0,2
Ks9s7s,13,9,7,0,1
As9d7c,14,9,7,0,3
As9d7d,14,9,7,0,2
As9d7s,14,9,7,0,2
As9s7d,14,9,7,0,2
As9s7s,14,9,7,0,1
JsTd7c,11,10,7,0,3
JsTd7d,11,10,7,0,2
JsTd7s,11,10,7,0,2
JsTs7d,11,10,7,0,2
JsTs7s,11,10,7,0,1
QsTd7c,12,10,7,0,3
QsTd7d,12,10,7,0,2
QsTd7s,12,10,7,0,2
QsTs7d,12,10,7,0,2
QsTs7s,12,10,7,0,1
KsTd7c,13,10,7,0,3
KsTd7d,13,10,7,0,2
KsTd7s,13,10,7,0,2
KsTs7d,13,10,7,0,2
KsTs7s,13,10,7,0,1
AsTd7c,14,10,7,0,3
AsTd7d,14,10,7,0,2
AsTd7s,14,10,7,0,2
AsTs7d,14,10,7,0,2
AsTs7s,14,10,7,0,1
QsJd7c,12,11,7,0,3
QsJd7d,12,11,7,0,2
QsJd7s,12,11,7,0,2
QsJs7d,12,11,7,0,2
QsJs7s,12,11,7,0,1
KsJd7c,13,11,7,0,3
KsJd7d,13,11,7,0,2
KsJd7s,13,11,7,0,2
KsJs7d,13,11,7,0,2
KsJs7s,13,11,7,0,1
AsJd7c,14,11,7,0,3
AsJd7d,14,11,7,0,2
AsJd7s,14,11,7,0,2
AsJs7d,14,11,7,0,2
AsJs7s,14,11,7,0,1
KsQd7c,13,12,7,0,3
KsQd7d,13,12,7,0,2
KsQd7s,13,12,7,0,2
KsQs7d,13,12,7,0,2
KsQs7s,13,12,7,0,1
AsQd7c,14,12,7,0,3
AsQd7d,14,12,7,0,2
AsQd7s,14,12,7,0,2
AsQs7d,14,12,7,0,2
AsQs7s,14,12,7,0,1
AsKd7c,14,13,7,0,3
AsKd7d,14,13,7,0,2
AsKd7s,14,13,7,0,2
AsKs7d,14,13,7,0,2
AsKs7s,14,13,7,0,1
Ts9d8c,10,9,8,0,3
Ts9d8d,10,9,8,0,2
Ts9d8s,10,9,8,0,2
Ts9s8d,10,9,8,0,2
Ts9s8s,10,9,8,0,1
Js9d8c,11,9,8,0,3
Js9d8d,11,9,8,0,2
Js9d8s,11,9,8,0,2
Js9s8d,11,9,8,0,2
Js9s8s,11,9,8,0,1
Qs9d8c,12,9,8,0,3
Qs9d8d,12,9,8,0,2
Qs9d8s,12,9,8,0,2
Qs9s8d,12,9,8,0,2
Qs9s8s,12,9,8,0,1
Ks9d8c,13,9,8,0,3
Ks9d8d,13,9,8,0,2
Ks9d8s,13,9,8,0,2
Ks9s8d,13,9,8,0,2
Ks9s8s,13,9,8,0,1
As9d8c,14,9,8,0,3
As9d8d,14,9,8,0,2
As9d8s,14,9,8,0,2
As9s8d,14,9,8,0,2
As9s8s,14,9,8,0,1
JsTd8c,11,10,8,0,3
JsTd8d,11,10,8,0,2
JsTd8s,11,10,8,0,2
JsTs8d,11,10,8,0,2
JsTs8s,11,10,8,0,1
QsTd8c,12,10,8,0,3
QsTd8d,12,10,8,0,2
QsTd8s,12,10,8,0,2
QsTs8d,12,10,8,0,2
QsTs8s,12,10,8,0,1
KsTd8c,13,10,8,0,3
KsTd8d,13,10,8,0,2
KsTd8s,13,10,8,0,2
KsTs8d,13,10,8,0,2
KsTs8s,13,10,8,0,1
AsTd8c,14,10,8,0,3
AsTd8d,14,10,8,0,2
AsTd8s,14,10,8,0,2
AsTs8d,14,10,8,0,2
AsTs8s,14,10,8,0,1
QsJd8c,12,11,8,0,3
QsJd8d,12,11,8,0,2
QsJd8s,12,11,8,0,2
QsJs8d,12,11,8,0,2
QsJs8s,12,11,8,0,1
KsJd8c,13,11,8,0,3
KsJd8d,13,11,8,0,2
KsJd8s,13,11,8,0,2
KsJs8d,13,11,8,0,2
KsJs8s,13,11,8,0,1
AsJd8c,14,11,8,0,3
AsJd8d,14,11,8,0,2
AsJd8s,14,11,8,0,2
AsJs8d,14,11,8,0,2
AsJs8s,14,11,8,0,1
KsQd8c,13,12,8,0,3
KsQd8d,13,12,8,0,2
KsQd8s,13,12,8,0,2
KsQs8d,13,12,8,0,2
KsQs8s,13,12,8,0,1
AsQd8c,14,12,8,0,3
AsQd8d,14,12,8,0,2
AsQd8s,14,12,8,0,2
AsQs8d,14,12,8,0,2
AsQs8s,14,12,8,0,1
